train_loss,val_loss,train_acc,val_acc
2.9110758874727334,1.4339314460754395,27.07482993197279,58.095238095238095
1.218124122723289,0.6386705935001373,65.578231292517,81.58730158730158
0.7118819576242695,0.364321357011795,78.70748299319727,89.52380952380952
0.5234763363133306,0.24630624949932098,83.94557823129252,93.96825396825396
0.39989915360575135,0.17555639743804932,87.27891156462584,95.23809523809524
0.31931180280187854,0.14755036011338235,90.54421768707483,96.82539682539682
0.29024429943250574,0.11890694797039032,91.56462585034014,96.5079365079365
0.23603785459114157,0.10279670357704163,92.85714285714286,96.82539682539682
0.21679964208084604,0.09575609266757965,94.14965986394557,96.82539682539682
0.1485390138366948,0.09018083289265633,96.3265306122449,97.46031746031746
0.15817761194446814,0.08082314729690551,95.64625850340136,97.14285714285714
0.16888510986514713,0.08462826237082481,95.03401360544218,96.82539682539682
0.13709813777519309,0.08511957377195359,95.91836734693878,97.46031746031746
0.12301710685310156,0.06564795076847077,96.87074829931973,98.0952380952381
0.1307684582374666,0.07746819611638785,96.19047619047619,97.46031746031746
0.11589868010386177,0.0701753057539463,96.87074829931973,97.14285714285714
0.10854866954943408,0.06450734026730061,96.66666666666667,98.41269841269842
0.11768886025833047,0.05913457572460175,96.4625850340136,97.77777777777777
0.10081861038570819,0.05460659004747868,97.14285714285714,98.0952380952381
0.12302709208882373,0.06145038492977619,96.80272108843538,97.46031746031746
