train_loss,val_loss,train_acc,val_acc
3.1902987646019976,3.1016510486602784,7.074829931972789,4.761904761904762
3.127677803454192,2.9992594718933105,8.571428571428571,7.936507936507937
3.0858050429302715,2.960147523880005,8.571428571428571,10.793650793650794
3.0497232831042744,3.0132495880126955,7.8231292517006805,13.333333333333334
2.970675126365993,2.91578369140625,10.408163265306122,16.50793650793651
2.947082809779955,2.802646780014038,12.517006802721088,18.41269841269841
2.8954591336457627,3.517127275466919,13.26530612244898,18.41269841269841
2.8451721564583154,2.8727811336517335,13.945578231292517,26.03174603174603
2.8175073395604673,3.201343297958374,14.761904761904763,21.904761904761905
2.754740227823672,3.177778482437134,17.142857142857142,24.444444444444443
2.74387788772583,2.8491379261016845,15.986394557823129,23.49206349206349
2.6575235594873843,2.718389940261841,18.91156462585034,24.761904761904763
2.6167715114095937,2.4738426208496094,19.86394557823129,26.666666666666668
2.6065880526667056,2.8350547313690186,20.408163265306122,27.936507936507937
2.5870425493820854,2.8009169578552244,21.020408163265305,25.396825396825395
2.5329640637273374,2.7070688247680663,22.312925170068027,28.253968253968253
2.474660811216935,2.507653570175171,24.761904761904763,35.23809523809524
2.439943085546079,2.661167049407959,24.217687074829932,27.936507936507937
2.406365861063418,2.3155822277069094,25.918367346938776,34.6031746031746
2.359024255172066,2.4312705993652344,26.73469387755102,32.698412698412696
